;Unnamed: 0;Annee;MoyenneRegion;Region;Population;Parc nucléaire (MW);Parc thermique fossile (MW);Parc hydraulique (MW);Parc éolien (MW);Parc solaire (MW);Parc bioénergies (MW);Essence;Hybride;diesel;GPL;electrique;autre;Essence_pop;Hybride_pop;diesel_pop;GPL_pop;electrique_pop;autre_pop
84;84;2018;39.22235869072632;Auvergne-Rhone-Alpes;7994459;13570.0;1072.0;11628.0;553.0;942.0;181.0;133791;12185;94115;316;4150;34;1.6735466402416976;0.15241806856473966;1.1772528947862513;0.00395273776499448;0.05191095482508573;0.0004252945696513047
85;85;2019;36.280998397690546;Auvergne-Rhone-Alpes;8042936;13570.0;1059.0;11792.0;552.0;1068.0;183.0;139877;13983;87025;287;5490;50;1.7391285968208623;0.17385442331009474;1.0820053771408848;0.00356834867267376;0.06825865579435171;0.0006216635318246969
88;88;2014;52.39224137931035;Provence-Alpes-Cote d'Azur;4983438;0.0;3208.0;3226.0;47.0;766.0;131.0;54893;3083;77059;153;830;25;1.1015086372098941;0.061864921365531185;1.546301970647573;0.0030701696298820213;0.016655168580405735;0.0005016617042290884
89;89;2015;56.52562497866143;Provence-Alpes-Cote d'Azur;5007977;0.0;3068.0;3222.0;50.0;869.0;120.0;67562;4056;71046;108;1286;12;1.3490876655384;0.08099078729794486;1.418656675140481;0.0021565594250932065;0.025679031672869102;0.00023961771389924513
90;90;2016;45.33445015523472;Provence-Alpes-Cote d'Azur;5021928;0.0;3229.0;3225.0;50.0;945.0;292.0;77303;4228;67127;44;1697;40;1.539309205548148;0.08419077294616728;1.3366778655528315;0.0008761575235646549;0.03379180267020953;0.0007965068396042316
91;91;2017;49.23881553137298;Provence-Alpes-Cote d'Azur;5030890;0.0;3253.0;3262.0;50.0;1110.0;292.0;84135;6801;64405;76;2096;20;1.6723681098175471;0.13518482813180174;1.280190980124789;0.001510667098664451;0.04166260840527223;0.00039754397333275027
92;92;2018;47.26834652262211;Provence-Alpes-Cote d'Azur;5052832;0.0;3277.0;3261.0;48.0;1224.0;292.0;94676;8859;53610;133;2790;10;1.873721509046808;0.17532742034565962;1.0609891640964908;0.0026321872565721557;0.05521655974313019;0.00019790881628362072
93;93;2019;43.57279617679639;Provence-Alpes-Cote d'Azur;5081101;0.0;3283.0;3269.0;48.0;1335.0;293.0;103525;10196;47061;104;4860;23;2.0374521191371713;0.20066517079664428;0.9261969010259784;0.0020468004867449006;0.09564856120750208;0.00045265779995319914
96;96;2014;42.184877376979706;Corse;324212;0.0;489.0;211.0;18.0;102.0;2.0;7267;104;18059;3;27;0;2.2414346168556376;0.032077776269848125;5.570120785165262;0.0009253204693225421;0.00832788422390288;0.0
97;97;2015;36.742567800201286;Corse;327283;0.0;489.0;223.0;18.0;110.0;2.0;10893;496;14897;5;31;0;3.3283121946450014;0.15155079854437903;4.551718237733093;0.001527729824036079;0.00947192490902369;0.0
98;98;2016;33.93383902134954;Corse;330455;0.0;489.0;223.0;18.0;116.0;2.0;14552;232;15562;0;48;0;4.403625304504395;0.07020623080298377;4.70926449894842;0.0;0.014525427062686294;0.0
99;99;2017;37.707443676395286;Corse;334938;0.0;489.0;223.0;18.0;134.0;2.0;17831;416;15652;1;90;0;5.323671843744215;0.12420209113328437;4.673103678889825;0.0002985627190703951;0.026870644716335563;0.0
100;100;2018;33.553258324812845;Corse;338554;0.0;489.0;223.0;18.0;152.0;2.0;22078;631;11405;3;114;0;6.52126396379898;0.18638090230805132;3.3687388127152538;0.0008861215640636353;0.03367261943441815;0.0
101;101;2019;34.40117873788981;Corse;340440;0.0;489.0;223.0;18.0;152.0;2.0;23154;640;10714;10;173;0;6.8011984490659145;0.18799201033956056;3.1471037480907063;0.0029373751615556338;0.050816590294912464;0.0
